i_v,j_v,i_v_q
239,238,0.0
239,239,0.0
240,240,-2.999999999999999
240,241,2.9999999999999956
240,242,-2.999999999999999
241,241,-3.000000000000014
241,270,2.999999999999999
241,299,2.999999999999999
242,241,0.0
242,242,0.0
242,243,0.0
242,244,0.0
242,270,0.0
242,272,0.0
243,243,-2.999999999999999
243,244,2.9999999999999956
243,245,-2.999999999999999
244,244,-3.000000000000014
244,272,2.999999999999999
244,273,2.999999999999999
245,244,0.0
245,245,0.0
245,246,0.0
245,247,0.0
245,273,0.0
245,275,0.0
246,246,-2.999999999999999
246,247,2.9999999999999956
246,248,-2.999999999999999
247,247,-3.000000000000014
247,275,2.999999999999999
247,276,2.999999999999999
248,247,0.0
248,248,0.0
248,249,0.0
248,250,0.0
248,276,0.0
248,278,0.0
249,249,-2.999999999999999
249,250,2.9999999999999956
249,251,-2.999999999999999
250,250,-3.000000000000014
250,278,2.999999999999999
250,279,2.999999999999999
251,250,0.0
251,251,0.0
251,252,0.0
251,253,0.0
251,279,0.0
251,281,0.0
252,252,-2.999999999999999
252,253,2.9999999999999956
252,254,-2.999999999999999
253,253,-3.000000000000014
253,281,2.999999999999999
253,282,2.999999999999999
254,253,0.0
254,254,0.0
254,255,0.0
254,256,0.0
254,282,0.0
254,284,0.0
255,255,-2.999999999999999
255,256,2.9999999999999956
255,257,-2.999999999999999
256,256,-3.000000000000014
256,284,2.999999999999999
256,285,2.999999999999999
257,256,0.0
257,257,0.0
257,258,0.0
257,259,0.0
257,285,0.0
257,287,0.0
258,258,-2.999999999999999
258,259,2.9999999999999956
258,260,-2.999999999999999
259,259,-3.000000000000014
259,287,2.999999999999999
259,288,2.999999999999999
260,259,0.0
260,260,0.0
260,261,0.0
260,262,0.0
260,288,0.0
260,290,0.0
261,261,-2.999999999999999
261,262,2.9999999999999956
261,263,-2.999999999999999
262,262,-3.000000000000014
262,290,2.999999999999999
262,291,2.999999999999999
263,262,0.0
263,263,0.0
263,264,0.0
263,265,0.0
263,291,0.0
263,293,0.0
264,264,-2.999999999999999
264,265,2.9999999999999956
264,266,-2.999999999999999
265,265,-3.000000000000014
265,293,2.999999999999999
265,294,2.999999999999999
266,265,0.0
266,266,0.0
266,267,0.0
266,268,0.0
266,294,0.0
266,296,0.0
267,267,-2.999999999999999
267,268,2.9999999999999956
267,269,-2.999999999999999
268,268,-3.000000000000014
268,296,2.999999999999999
268,297,2.999999999999999
269,240,0.0
269,241,0.0
269,268,0.0
269,269,0.0
269,297,0.0
269,299,0.0
270,270,-2.999999999999999
270,271,2.9999999999999867
270,272,-2.999999999999999
271,2,3.000000000000009
271,3,3.000000000000009
271,271,-3.0000000000000235
272,3,0.0
272,5,0.0
272,271,0.0
272,272,0.0
272,273,0.0
272,274,0.0
273,273,-2.999999999999999
273,274,2.9999999999999867
273,275,-2.999999999999999
274,5,3.000000000000009
274,6,3.000000000000009
274,274,-3.0000000000000235
275,6,0.0
275,8,0.0
275,274,0.0
275,275,0.0
275,276,0.0
275,277,0.0
276,276,-2.999999999999999
276,277,2.9999999999999867
276,278,-2.999999999999999
277,8,3.000000000000009
277,9,3.000000000000009
277,277,-3.0000000000000235
278,9,0.0
278,11,0.0
278,277,0.0
278,278,0.0
278,279,0.0
278,280,0.0
279,279,-2.999999999999999
279,280,2.9999999999999867
279,281,-2.999999999999999
280,11,3.000000000000009
280,12,3.000000000000009
280,280,-3.0000000000000235
281,12,0.0
281,14,0.0
281,280,0.0
281,281,0.0
281,282,0.0
281,283,0.0
282,282,-2.999999999999999
282,283,2.9999999999999867
282,284,-2.999999999999999
283,14,3.000000000000009
283,15,3.000000000000009
283,283,-3.0000000000000235
284,15,0.0
284,17,0.0
284,283,0.0
284,284,0.0
284,285,0.0
284,286,0.0
285,285,-2.999999999999999
285,286,2.9999999999999867
285,287,-2.999999999999999
286,17,3.000000000000009
286,18,3.000000000000009
286,286,-3.0000000000000235
287,18,0.0
287,20,0.0
287,286,0.0
287,287,0.0
287,288,0.0
287,289,0.0
288,288,-2.999999999999999
288,289,2.9999999999999867
288,290,-2.999999999999999
289,20,3.000000000000009
289,21,3.000000000000009
289,289,-3.0000000000000235
290,21,0.0
290,23,0.0
290,289,0.0
290,290,0.0
290,291,0.0
290,292,0.0
291,291,-2.999999999999999
291,292,2.9999999999999867
291,293,-2.999999999999999
292,23,3.000000000000009
292,24,3.000000000000009
292,292,-3.0000000000000235
293,24,0.0
293,26,0.0
293,292,0.0
293,293,0.0
293,294,0.0
293,295,0.0
294,294,-2.999999999999999
294,295,2.9999999999999867
294,296,-2.999999999999999
295,26,3.000000000000009
295,27,3.000000000000009
295,295,-3.0000000000000235
296,27,0.0
296,29,0.0
296,295,0.0
296,296,0.0
296,297,0.0
296,298,0.0
297,297,-2.999999999999999
297,298,2.9999999999999867
297,299,-2.999999999999999
298,0,3.000000000000009
298,29,3.000000000000009
298,298,-3.0000000000000235
299,0,0.0
299,2,0.0
299,270,0.0
299,271,0.0
299,298,0.0
299,299,0.0
